release_year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,popular_genre,max_mean
1996,0.20689655172413793,0.1477832512315271,0.03940886699507389,0.4482758620689655,0.09359605911330049,0.014778325123152709,0.5123152709359606,0.15270935960591134,0.10837438423645321,0.009852216748768473,0.024630541871921183,0.08374384236453201,0.019704433497536946,0.06403940886699508,0.21674876847290642,0.11822660098522167,0.009852216748768473,0.30049261083743845,0.014778325123152709,0.0,Drama,0.5123152709359606
1997,0.3072916666666667,0.18229166666666666,0.052083333333333336,0.4010416666666667,0.14583333333333334,0.010416666666666666,0.4322916666666667,0.171875,0.109375,0.015625,0.036458333333333336,0.09375,0.020833333333333332,0.109375,0.16666666666666666,0.15104166666666666,0.005208333333333333,0.3177083333333333,0.005208333333333333,0.0,Drama,0.4322916666666667
1998,0.20476190476190476,0.18095238095238095,0.0761904761904762,0.4,0.1619047619047619,0.014285714285714285,0.5142857142857142,0.1619047619047619,0.10476190476190476,0.01904761904761905,0.03333333333333333,0.10952380952380952,0.05714285714285714,0.08571428571428572,0.19523809523809524,0.12380952380952381,0.014285714285714285,0.2523809523809524,0.014285714285714285,0.004761904761904762,Drama,0.5142857142857142
1999,0.16964285714285715,0.08928571428571429,0.05803571428571429,0.44642857142857145,0.12946428571428573,0.022321428571428572,0.5044642857142857,0.12946428571428573,0.10267857142857142,0.026785714285714284,0.03125,0.11607142857142858,0.022321428571428572,0.10714285714285714,0.1875,0.12946428571428573,0.026785714285714284,0.23660714285714285,0.013392857142857142,0.013392857142857142,Drama,0.5044642857142857
2000,0.2079646017699115,0.12389380530973451,0.11946902654867257,0.42920353982300885,0.13716814159292035,0.01327433628318584,0.4469026548672566,0.1504424778761062,0.09292035398230089,0.017699115044247787,0.017699115044247787,0.09292035398230089,0.04424778761061947,0.061946902654867256,0.2079646017699115,0.10619469026548672,0.004424778761061947,0.27876106194690264,0.022123893805309734,0.008849557522123894,Drama,0.4469026548672566
2001,0.25311203319502074,0.16597510373443983,0.07468879668049792,0.4190871369294606,0.16182572614107885,0.02074688796680498,0.4149377593360996,0.12863070539419086,0.1037344398340249,0.016597510373443983,0.04979253112033195,0.0954356846473029,0.024896265560165973,0.0912863070539419,0.21991701244813278,0.1037344398340249,0.04149377593360996,0.27385892116182575,0.04979253112033195,0.008298755186721992,Comedy,0.4190871369294606
2002,0.2706766917293233,0.16917293233082706,0.07894736842105263,0.39097744360902253,0.15413533834586465,0.03759398496240601,0.48872180451127817,0.14661654135338345,0.07518796992481203,0.041353383458646614,0.03007518796992481,0.11278195488721804,0.015037593984962405,0.10526315789473684,0.18045112781954886,0.10526315789473684,0.011278195488721804,0.3157894736842105,0.02631578947368421,0.0037593984962406013,Drama,0.48872180451127817
2003,0.2597864768683274,0.14590747330960854,0.10320284697508897,0.39501779359430605,0.16370106761565836,0.03914590747330961,0.3914590747330961,0.15658362989323843,0.09608540925266904,0.017793594306049824,0.03202846975088968,0.08540925266903915,0.03914590747330961,0.06761565836298933,0.17437722419928825,0.14590747330960854,0.010676156583629894,0.2597864768683274,0.028469750889679714,0.014234875444839857,Comedy,0.39501779359430605
2004,0.24429967426710097,0.15960912052117263,0.0749185667752443,0.40716612377850164,0.10423452768729642,0.03908794788273615,0.4592833876221498,0.13029315960912052,0.06188925081433225,0.02280130293159609,0.02280130293159609,0.09446254071661238,0.04234527687296417,0.08794788273615635,0.20521172638436483,0.11074918566775244,0.019543973941368076,0.24104234527687296,0.026058631921824105,0.02280130293159609,Drama,0.4592833876221498
2005,0.1928374655647383,0.14600550964187328,0.07162534435261708,0.3939393939393939,0.12396694214876033,0.046831955922865015,0.5013774104683195,0.15702479338842976,0.09641873278236915,0.027548209366391185,0.027548209366391185,0.15426997245179064,0.03581267217630854,0.07988980716253444,0.17079889807162535,0.06887052341597796,0.008264462809917356,0.2534435261707989,0.013774104683195593,0.005509641873278237,Drama,0.5013774104683195
2006,0.19607843137254902,0.13480392156862744,0.09558823529411764,0.3799019607843137,0.12990196078431374,0.0392156862745098,0.48284313725490197,0.15931372549019607,0.08333333333333333,0.024509803921568627,0.029411764705882353,0.13725490196078433,0.029411764705882353,0.07352941176470588,0.1715686274509804,0.07352941176470588,0.0196078431372549,0.27941176470588236,0.01715686274509804,0.0024509803921568627,Drama,0.48284313725490197
2007,0.21689497716894976,0.136986301369863,0.0730593607305936,0.3447488584474886,0.14840182648401826,0.04337899543378995,0.4497716894977169,0.10273972602739725,0.10730593607305935,0.03881278538812785,0.02968036529680365,0.18036529680365296,0.03424657534246575,0.0776255707762557,0.1689497716894977,0.09360730593607305,0.0136986301369863,0.2853881278538813,0.0136986301369863,0.01141552511415525,Drama,0.4497716894977169
2008,0.2,0.12727272727272726,0.06666666666666667,0.3414141414141414,0.12525252525252525,0.052525252525252523,0.4707070707070707,0.11313131313131314,0.08686868686868687,0.03636363636363636,0.048484848484848485,0.15353535353535352,0.04040404040404041,0.05858585858585859,0.1696969696969697,0.10505050505050505,0.010101010101010102,0.25656565656565655,0.03636363636363636,0.00404040404040404,Drama,0.4707070707070707
2009,0.2033898305084746,0.13559322033898305,0.0903954802259887,0.3728813559322034,0.09792843691148775,0.047080979284369114,0.4218455743879473,0.11299435028248588,0.09227871939736347,0.032015065913371,0.030131826741996232,0.1694915254237288,0.032015065913371,0.096045197740113,0.15630885122410546,0.1337099811676083,0.015065913370998116,0.295668549905838,0.022598870056497175,0.0,Drama,0.4218455743879473
2010,0.21971252566735114,0.12114989733059549,0.1026694045174538,0.3470225872689938,0.1026694045174538,0.07186858316221766,0.43121149897330596,0.11293634496919917,0.09034907597535935,0.026694045174537988,0.028747433264887063,0.1601642710472279,0.02053388090349076,0.06570841889117043,0.17453798767967146,0.09240246406570841,0.01642710472279261,0.2751540041067762,0.014373716632443531,0.012320328542094456,Drama,0.43121149897330596
2011,0.21296296296296297,0.11481481481481481,0.08518518518518518,0.31851851851851853,0.08888888888888889,0.09074074074074075,0.3962962962962963,0.13333333333333333,0.08518518518518518,0.025925925925925925,0.014814814814814815,0.14444444444444443,0.03148148148148148,0.07037037037037037,0.1388888888888889,0.1037037037037037,0.018518518518518517,0.27037037037037037,0.016666666666666666,0.005555555555555556,Drama,0.3962962962962963
2012,0.1695205479452055,0.08561643835616438,0.0684931506849315,0.3013698630136986,0.09246575342465753,0.0839041095890411,0.3972602739726027,0.07191780821917808,0.05821917808219178,0.010273972602739725,0.02226027397260274,0.1780821917808219,0.03767123287671233,0.05650684931506849,0.13527397260273974,0.09246575342465753,0.023972602739726026,0.273972602739726,0.017123287671232876,0.00684931506849315,Drama,0.3972602739726027
2013,0.18445121951219512,0.10213414634146341,0.06402439024390244,0.26676829268292684,0.10823170731707317,0.09451219512195122,0.3856707317073171,0.07317073170731707,0.05945121951219512,0.0,0.021341463414634148,0.15548780487804878,0.04573170731707317,0.057926829268292686,0.09908536585365854,0.09298780487804878,0.01524390243902439,0.26676829268292684,0.010670731707317074,0.004573170731707317,Drama,0.3856707317073171
2014,0.18454935622317598,0.09585121602288985,0.05150214592274678,0.2646638054363376,0.09298998569384835,0.1044349070100143,0.4062947067238913,0.06151645207439199,0.05150214592274678,0.0,0.02145922746781116,0.15021459227467812,0.04005722460658083,0.05150214592274678,0.12017167381974249,0.08869814020028613,0.020028612303290415,0.25608011444921314,0.032904148783977114,0.008583690987124463,Drama,0.4062947067238913
2015,0.17065390749601275,0.11004784688995216,0.06220095693779904,0.2583732057416268,0.08133971291866028,0.09090909090909091,0.41467304625199364,0.07017543859649122,0.05263157894736842,0.0,0.023923444976076555,0.19936204146730463,0.05263157894736842,0.06698564593301436,0.09090909090909091,0.1371610845295056,0.03189792663476874,0.2727272727272727,0.014354066985645933,0.009569377990430622,Drama,0.41467304625199364
